; Zeus eventmsg.zh-CN.txt (UTF-8)
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"由于[leader_name]真的非常喜欢你，"
PHRASE_famine_relief_relief_oracle_prediction_D		"尊敬的[player_name]。我，神谕所智慧的女祭司，看到了你的敌对城市[city_name]，及其执政官[leader_name]的命运。一场严重的饥荒将袭击他们，城里所有的人都将痛不欲生。如果你能在一年之内送去[amount]份粮食，你就可以逆转这场悲剧，说不定还能赢得[leader_name]的尊敬。"
PHRASE_famine_relief_relief_initial_announcement_D		"听着，[player_name]。我，[city_name]的执政官[leader_name]，碰到了一个问题，而你将负责帮我解决它。我的城市正遭受饥荒，我命令你在[time_allotted]个月内送[amount]份粮食过来，好让我的人民有东西吃。你最好按我说的话做！"
PHRASE_famine_relief_relief_reminder_D 				"怎么回事，[player_name]，你没有收到我上一封信吗？我，[city_name]的执政官[leader_name]，要你给我的[amount]份粮食在哪儿？如果你识时务的话，最好在六个月内把[amount]份粮食送来。我的人民正等着呢！"
PHRASE_famine_relief_relief_overdue_D 					"你太失败了，[player_name]，你不应该这样无视我的要求。虽然我城里的饥荒已经过去，人们也已经有东西吃了，但我不会让你这么容易就过去的。马上把我要的[amount]份粮食送来，也许我还会考虑原谅你的无礼。"
PHRASE_famine_relief_relief_warning_D 					"很好，[player_name]，看来你决定要让我，[city_name]的执政官生气了！我再给你六个月，如果你再不把[amount]份粮食送来，我保证会让你后悔的！"
PHRASE_famine_relief_relief_early_reason_D	  			"由于你预见到我需要[amount]份粮食，"
PHRASE_famine_relief_relief_comply_reason_D  			"由于你，像一只听话的狗，送来了[amount]份粮食，"
PHRASE_famine_relief_relief_too_late_reason_D 	 		"由于你太晚才将[amount]份粮食送来，"
PHRASE_famine_relief_relief_refuse_reason_D	 		"由于你拒绝送[amount]份粮食来，"
PHRASE_famine_relief_relief_no_reason_D				""

PHRASE_famine_relief_relief_title_P 					"[city_name]发生饥荒"
PHRASE_famine_relief_relief_oracle_prediction_P		"你好，[player_name]。我，神谕所圣明的女祭司，预见到你的殖民地[city_name]，和它的执政官[leader_name]将经历一段艰难的日子。他们将遭到一次严重饥荒的袭击，可能是近年来希腊最严重的一次了。如果你能在一年之内送去[amount]份粮食，那么[leader_name]和他的人民就能得救了。"
PHRASE_famine_relief_relief_initial_announcement_P		"最尊敬的[player_name]。我，您的殖民地[city_name]的执政官[leader_name]，急需你的援助。我们遭到了一场严重的饥荒袭击。我的人民现在都在受饿。我请求您，尊敬的主人，在[time_allotted]个月内送[amount]份粮食给我们。我们已经走投无路了！"
PHRASE_famine_relief_relief_reminder_P 				"请您救救我们，[player_name]！我的人民因为饥饿而哭喊着，我听了心都要碎了！我，[city_name]的执政官[leader_name]，恳求您，在六个月内送[amount]份粮食过来！"
PHRASE_famine_relief_relief_overdue_P 					"为什么，你会漠视我们的痛苦，[player_name]？我很多人民都饿死了，我的城市[city_name]再也不能恢复到以前繁荣的样子了！我们还需要粮食，所以如果你那儿有多的话，请马上送[amount]份过来。也许我还可以消除对你的疑虑。"
PHRASE_famine_relief_relief_warning_P 					"我们到底做了什么，你要如此残酷地对待我们，[player_name]？我，[leader_name]，向来对你都恭敬有加，而你现在却故意折磨我和我的城市[city_name]。如果你能在六个月内送来[amount]份粮食的话，也许我还可以考虑一下你承受的巨大压力。"
PHRASE_famine_relief_relief_early_reason_P	  			"由于你预见到我需要[amount]份粮食，并及时送了过来，"
PHRASE_famine_relief_relief_comply_reason_P  			"由于你仁慈地送来我人民急需的[amount]份粮食，"
PHRASE_famine_relief_relief_too_late_reason_P 	 		"由于你太晚才将我需要的[amount]份粮食送来，"
PHRASE_famine_relief_relief_refuse_reason_P	 		"由于你残忍地拒绝了我关于[amount]份粮食的请求，"
PHRASE_famine_relief_relief_no_reason_P				""

PHRASE_famine_relief_relief_title_R 					"[city_name]发生饥荒"
PHRASE_famine_relief_relief_oracle_prediction_R		"你好，[player_name]。我是神谕所无所不能的女祭司。我预见到你的母城将遭受饥荒的袭击。如果你能够在一年之内送去[amount]份粮食的话，还有可能阻止这场悲剧发生。"
PHRASE_famine_relief_relief_initial_announcement_R		"最有前途的执政官，[player_name]，有麻烦了。在你外出建立殖民地的时候，我们的城市遭到了饥荒的袭击。请在[time_allotted]个月内从殖民地送[amount]份粮食给我们以度过难关。"
PHRASE_famine_relief_relief_reminder_R 				"你一定很忙吧，[player_name]，因为我们知道你决不会对母城[city_name]坐视不管的。这里的饥荒越来越严重了，如果你不能在六个月内送[amount]份粮食过来，后果将不堪设想。"
PHRASE_famine_relief_relief_overdue_R 					"难道你把我们忘了吗，[player_name]？要不然你怎么解释你到现在还没有将[amount]份粮食送来给你自己的城市[city_name]？赶快送过来吧，我们都等着呢。"
PHRASE_famine_relief_relief_warning_R 					"也许你打算再也不回来了吧，[player_name]！六个月内把我们要的[amount]份粮食送来，否则你也就再不必来麻烦我们了。没想到你是这样的执政官。"
PHRASE_famine_relief_relief_early_reason_R	  			"由于你提前送来[amount]份粮食，"
PHRASE_famine_relief_relief_comply_reason_R  			"由于你送给我[amount]份粮食，"
PHRASE_famine_relief_relief_too_late_reason_R 	 		"由于你拖延了一阵才将[amount]份粮食送来，"
PHRASE_famine_relief_relief_refuse_reason_R	 		"由于你没有把[amount]份粮食送来，"
PHRASE_famine_relief_relief_no_reason_R				""

PHRASE_CONDENSED_famine_relief_relief_title_S 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_S			"先知们预见到[city_name]将发生饥荒。送[amount]份粮食过去。"
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_S		"[city_name]发生饥荒。在[time_allotted]个月内送[amount]份粮食过去。"
PHRASE_CONDENSED_famine_relief_relief_reminder_S 				"将[amount]份粮食送给[city_name]还剩六个月。"
PHRASE_CONDENSED_famine_relief_relief_overdue_S 					"已经过了最后期限！不过送[amount]份粮食去总比不送要好。"
PHRASE_CONDENSED_famine_relief_relief_warning_S 					"将救济送给[city_name]还剩六个月。"
PHRASE_CONDENSED_famine_relief_relief_early_reason_S	  			"由于你提前将粮食送给了[city_name]"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_S  			"由于你已经将粮食送给了[city_name]"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_S 	 		"由于太晚才将粮食送给[city_name]，"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_S	 		"由于你拒绝将粮食送给[city_name]"
PHRASE_CONDENSED_famine_relief_relief_no_reason_S				""

PHRASE_CONDENSED_famine_relief_relief_title_D 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_D		"先知们预见到[city_name]将发生饥荒。送[amount]份粮食过去。"
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_D		"[city_name]要求你在[time_allotted]个月内将[amount]份粮食送去。"
PHRASE_CONDENSED_famine_relief_relief_reminder_D 				"[city_name]还在等他们的粮食。你还剩下六个月。"
PHRASE_CONDENSED_famine_relief_relief_overdue_D 					"已过最后期限！在两年内送去粮食，免得[city_name]生气。"
PHRASE_CONDENSED_famine_relief_relief_warning_D 					"将粮食送给[city_name]还剩六个月。"
PHRASE_CONDENSED_famine_relief_relief_early_reason_D	  			"由于你预见到[city_name]的需要"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_D  			"由于你满足了[city_name]城对粮食的要求"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_D 	 		"由于你太晚才将给[city_name]的粮食送去"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_D	 		"由于你没有将粮食给[city_name]送去"
PHRASE_CONDENSED_famine_relief_relief_no_reason_D				""

PHRASE_CONDENSED_famine_relief_relief_title_P 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_P		"先知们预见到[city_name]将发生饥荒。送[amount]份粮食过去。"
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_P		"[city_name]恳求在[time_allotted]个月内送[amount]份粮食过去。 "
PHRASE_CONDENSED_famine_relief_relief_reminder_P 				"[city_name]仍然希望得到粮食救助。六个月内将粮食送过去。"
PHRASE_CONDENSED_famine_relief_relief_overdue_P 					"最后期限已过！快将救助送给[city_name]以避免麻烦。"
PHRASE_CONDENSED_famine_relief_relief_warning_P 					"将救助送给[city_name]还剩六个月的时间。"
PHRASE_CONDENSED_famine_relief_relief_early_reason_P	  			"由于你提前将救助送给了[city_name]"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_P  			"由于你将救助送给了[city_name]"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_P 	 		"由于你太晚才将救助送给[city_name]"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_P	 		"由于你没有将救助送给[city_name]"
PHRASE_CONDENSED_famine_relief_relief_no_reason_P				""

PHRASE_CONDENSED_famine_relief_relief_title_R 					"N/A"
PHRASE_CONDENSED_famine_relief_relief_oracle_prediction_R		"先知们预见到[city_name]将发生饥荒。送[amount]份粮食过去。"
PHRASE_CONDENSED_famine_relief_relief_initial_announcement_R		"[city_name]发生饥荒。在[time_allotted]个月内送[amount]份粮食过去。"
PHRASE_CONDENSED_famine_relief_relief_reminder_R 				"[city_name]还在等待救助。在六个月内送过去。"
PHRASE_CONDENSED_famine_relief_relief_overdue_R 					"最后期限已过！将粮食送给母城[city_name]以避免麻烦。"
PHRASE_CONDENSED_famine_relief_relief_warning_R 					"将粮食送给[city_name]还剩六个月。"
PHRASE_CONDENSED_famine_relief_relief_early_reason_R	  			"由于你提前将粮食救助送给了[city_name]"
PHRASE_CONDENSED_famine_relief_relief_comply_reason_R  			"由于你将救助送给了[city_name]"
PHRASE_CONDENSED_famine_relief_relief_too_late_reason_R 	 		"由于你太晚才将粮食救助送给[city_name]"
PHRASE_CONDENSED_famine_relief_relief_refuse_reason_R	 		"由于你没有将粮食送给[city_name]"
PHRASE_CONDENSED_famine_relief_relief_no_reason_R				""

;*****General Request**********************************
PHRASE_general_request_title_S 					"[city_name]需要[itemshort]"
PHRASE_general_request_oracle_prediction_S		"我是神谕所的女祭司，我要告诉你这么一件事：[leader_name]，你的同盟城[city_name]的执政官，将在一年之内向你要求[amount]份[item]，来考验你对他的忠诚。如果你现在就给他送过去的话，[leader_name]一定会为你的预见能力而惊奇不已！"
PHRASE_general_request_initial_announcement_S		"你好，[player_name]。我，[city_name]的执政官[leader_name]，需要你在[time_allotted]个月内送给我[amount]份[item]。你不必知道为什么；相信我们是你的同盟，把东西送来就行了。"
PHRASE_general_request_reminder_S 				"我想善意地提醒你一下，[player_name]，我还在等你把[amount]份[item]送到[city_name]来。请在六个月内送过来。"
PHRASE_general_request_overdue_S 					"嗯，[player_name]，我看不到我向你要的[amount]份[item]在哪里。也许它们在路上丢失了吧。如果你现在把我要的东西送过来，那我还可以打消对你的怀疑。"
PHRASE_general_request_warning_S 					"我开始对你这个同盟表示怀疑了，[player_name]。我，[city_name]的执政官[leader_name]，仍然在等待你把我要求的[amount]份[item]送来。我敢肯定其它的同盟一定不会这么对待我的。六个月内把东西送过来，否则我就要彻底把你放弃了。"
PHRASE_general_request_early_reason_S	  			"由于你预见到我需要[amount]份[item]，"
PHRASE_general_request_comply_reason_S  			"由于你爽快地将[amount]份[item]送给了我，"
PHRASE_general_request_too_late_reason_S 	 		"由于你没有及时将[amount]份[item]送给我，"
PHRASE_general_request_refuse_reason_S	 		"由于你拒绝将[amount]份[item]送给我，"
PHRASE_general_request_no_reason_S				""

PHRASE_general_request_title_D 					"[city_name]需要[itemshort]"
PHRASE_general_request_oracle_prediction_D		"听我说，[player_name]，诸神将未来的事情告诉了我！一年之内，[leader_name]，你敌对城市[city_name]的执政官，将要求你送给他[amount]份[item]。他自己城市的产量比你的要少很多，向你求助让他觉得颇为丢脸。"
PHRASE_general_request_initial_announcement_D		"嗨，[player_name]，你这个没用的家伙，在[time_allotted]个月内送[amount]份[item]到我的城市来。我是万能的[leader_name]。我完全可以到你的城市来拿了就走，所以你最好还是听话一点。"
PHRASE_general_request_reminder_D 				"到底怎么回事，[player_name]？也许你误会我的意思了，我不是在给你做选择题。我要你将[amount]份[item]给我送到[city_name]来。六个月内送过来，我不想再考虑你的事了。"
PHRASE_general_request_overdue_D 					"我诅咒你，[player_name]。你没有如我所要求的将[amount]份[item]送到我的城市[city_name]来。和我这么伟大的执政官开玩笑可不是明智之举。如果你现在把东西送过来我可以认为你只是有点迟钝，还不是最笨！"
PHRASE_general_request_warning_D 				"[player_name]，你这个脓疱，你最好赶快把[amount]份[item]送过来！我可没有耐心再等下去了！"
PHRASE_general_request_early_reason_D	  			"由于你提前将[amount]份[item]送给了我的城市，"
PHRASE_general_request_comply_reason_D  			"由于你在我的命令下将[amount]份[item]送了过来，"
PHRASE_general_request_too_late_reason_D 	 		"由于你太晚才将[amount]份[item]送到我的城市，"
PHRASE_general_request_refuse_reason_D	 		"由于你愚蠢地拒绝送[amount]份[item]给我的城市，"
PHRASE_general_request_no_reason_D				""

PHRASE_general_request_title_P 					"[city_name]请求[itemshort]"
PHRASE_general_request_oracle_prediction_P		"我，神谕所的先知，有消息要告诉你，[player_name]。一年之内，你的殖民地[city_name]将发生[item]短缺，从而影响其城市的发展。[city_name]的执政官[leader_name]将向你求助。如果你现在就送[amount]份[item]过去的话，你就可以帮助他们改变命运了。"
PHRASE_general_request_initial_announcement_P		"哦，伟大的[player_name]。由于我的城市最近发生了一次火灾，所以我，[city_name]的执政官[leader_name]，不得不向您请求[item]支援。没有了[item]，我的城市将很难维持下去。我请求您在[time_allotted]个月内将[amount]份[item]送给我们，以缓解我们的压力。"
PHRASE_general_request_reminder_P 				"您一定很忙吧，[player_name]，要不然您怎么会到现在还没有把[amount]份[item]送到[city_name]来呢。我，[leader_name]，仰仗你的仁慈了。请在六个月内将货物送来。"
PHRASE_general_request_overdue_P 					"难道我们对你的仰仗触犯你了吗？还是你想给我们怎么样一个教训？为什么我，[leader_name]，这么卑微地恳求你，你却还没有将[amount]份[item]送来？我的城市，[city_name]，还在遭受着痛苦！不管怎么说还是把货物送过来吧，我们还等着用呢。"
PHRASE_general_request_warning_P 					"等着让你别的殖民地都知道这件事情吧，[player_name]。我不能相信，在我的城市[city_name]最需要帮助的时候你居然无视它！我不知道自己是否能恢复过来。但是如果你将[amount]份[item]送过来的话，也许我还可以原谅你。"
PHRASE_general_request_early_reason_P	  			"由于你预见到我的需要，并将[amount]份[item]送给了我，"
PHRASE_general_request_comply_reason_P  			"由于你仁慈地将[amount]份[item]送给了我，"
PHRASE_general_request_too_late_reason_P 	 		"由于你太晚才将[amount]份[item]送给我，"
PHRASE_general_request_refuse_reason_P	 		"由于你残忍地拒绝了送[amount]份[item]给我，"
PHRASE_general_request_no_reason_P				""

PHRASE_general_request_title_R 					"[city_name]需征用[itemshort]"
PHRASE_general_request_oracle_prediction_R		"[player_name]，诸神在与我的谈话中将这个告诉了我：你的母城[city_name]在不久的将来会需要[amount]份[item]。如果你现在就把这些东西送过去，代替你行使管理之职的执政官[leader_name]一定会为你的预见能力感到而惊讶。"
PHRASE_general_request_initial_announcement_R		"你好，[player_name]。我，[leader_name]，你在母城[city_name]的代理执政官需要你的帮助。我们在[time_allotted]个月内需要[amount]份[item]。我们的消耗比我们想象中的要多，如果你不送来的话，我们很快就要坚持不下去了。"
PHRASE_general_request_reminder_R 				"最有能力的执政官[player_name]，你的母城[city_name]仍然在等待[amount]份[item]的到达。请在六个月内送来。"
PHRASE_general_request_overdue_R 				"你太令我吃惊了，[player_name]。时间已经过去了，但我们还没有收到[amount]份[item]。虽然我，[leader_name]，是你的代理执政官，但我更忠心的是我的城市，而不是你。马上把货物送过来，也许你还可以保住你的声誉。"
PHRASE_general_request_warning_R 					"你还没有把[amount]份[item]送来给我们，[player_name]！我，[leader_name]可以让你的日子很不好过。六个月内把东西送过来。"
PHRASE_general_request_early_reason_R	  			"由于你提前将[amount]份[item]送给了我们，"
PHRASE_general_request_comply_reason_R  			"由于你将我们需要的[amount]份[item]送了过来，"
PHRASE_general_request_too_late_reason_R 	 		"由于你太晚才将[amount]份[item]送过来，"
PHRASE_general_request_refuse_reason_R	 		"由于你拒绝了你的母城，没有将[amount]份[item]送过来，"
PHRASE_general_request_no_reason_R				""


PHRASE_CONDENSED_general_request_title_S 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_S			"先知们要预见到[city_name]将需要[amount]份[item]。"
PHRASE_CONDENSED_general_request_initial_announcement_S		"[city_name]在[time_allotted]个月内需要[amount]份[item]。"
PHRASE_CONDENSED_general_request_reminder_S 				"送[amount]份[item]给[city_name]还剩六个月。"
PHRASE_CONDENSED_general_request_overdue_S 				"最后期限已过！把东西送给[city_name]，再迟也比不送好。"
PHRASE_CONDENSED_general_request_warning_S 				"还剩六个月将[amount]份[item]送给[city_name]。"
PHRASE_CONDENSED_general_request_early_reason_S	  			"由于你提前送去[amount]份[item]"
PHRASE_CONDENSED_general_request_comply_reason_S  			"由于你送去[amount]份[item]"
PHRASE_CONDENSED_general_request_too_late_reason_S 	 		"由于你太晚才将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_refuse_reason_S	 		"由于你没有将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_no_reason_S				""

PHRASE_CONDENSED_general_request_title_D 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_D			"先知们预见到[city_name]将会要求[amount]份[item]。"
PHRASE_CONDENSED_general_request_initial_announcement_D		"[city_name]要求在[time_allotted]个月内送去[amount]份[item]。"
PHRASE_CONDENSED_general_request_reminder_D 				"送[amount]份[item]给[city_name]还剩六个月。"
PHRASE_CONDENSED_general_request_overdue_D 				"最后期限已过！把东西送给[city_name]，再迟也比不送好。"
PHRASE_CONDENSED_general_request_warning_D 				"还剩六个月将[amount]份[item]送给[city_name]。"
PHRASE_CONDENSED_general_request_early_reason_D	  			"由于你提前送去[amount]份[item]"
PHRASE_CONDENSED_general_request_comply_reason_D  			"由于你送去[amount]份[item]"
PHRASE_CONDENSED_general_request_too_late_reason_D 	 		"由于你太晚才将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_refuse_reason_D	 		"由于你没有将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_no_reason_D				""

PHRASE_CONDENSED_general_request_title_P 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_P		"先知们预见到[city_name]将需要[amount]份[item]。"
PHRASE_CONDENSED_general_request_initial_announcement_P		"[city_name]请求在[time_allotted]个月内送去[amount]份[item]。"
PHRASE_CONDENSED_general_request_reminder_P 				"送[amount]份[item]给[city_name]还剩六个月。"
PHRASE_CONDENSED_general_request_overdue_P 					"最后期限已过！把东西送给[city_name]，再迟也比不送好。"
PHRASE_CONDENSED_general_request_warning_P 					"还剩六个月将[amount]份[item]送给[city_name]。"
PHRASE_CONDENSED_general_request_early_reason_P	  			"由于你提前送去[amount]份[item]"
PHRASE_CONDENSED_general_request_comply_reason_P  			"由于你送去[amount]份[item]"
PHRASE_CONDENSED_general_request_too_late_reason_P 	 		"由于你太晚才将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_refuse_reason_P	 		"由于你没有将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_no_reason_P				""

PHRASE_CONDENSED_general_request_title_R 					"N/A"
PHRASE_CONDENSED_general_request_oracle_prediction_R		"先知们预见到[city_name]将需要[amount]份[item]。"
PHRASE_CONDENSED_general_request_initial_announcement_R		"[city_name]请求在[time_allotted]个月内送去[amount]份[item]。"
PHRASE_CONDENSED_general_request_reminder_R 				"送[amount]份[item]给[city_name]还剩六个月。"
PHRASE_CONDENSED_general_request_overdue_R 					"最后期限已过！把东西送给[city_name]，再迟也比不送好。"
PHRASE_CONDENSED_general_request_warning_R 					"还剩六个月将[amount]份[item]送给[city_name]。"
PHRASE_CONDENSED_general_request_early_reason_R	  			"由于你提前送去[amount]份[item]"
PHRASE_CONDENSED_general_request_comply_reason_R  			"由于你送去[amount]份[item]"
PHRASE_CONDENSED_general_request_too_late_reason_R 	 		"由于你太晚才将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_refuse_reason_R	 		"由于你没有将[amount]份[item]送去"
PHRASE_CONDENSED_general_request_no_reason_R				""

;******Building Project*********************************************************
PHRASE_building_project_title_S 					"[city_name]需要[itemshort]"
PHRASE_building_project_oracle_prediction_S		"我，神谕所的女祭司，愿意将我看到的未来告诉你，[player_name]！我看见[leader_name]，[city_name]的执政官，无助地看着他的城市。一座曾经历过辉煌的神圣所就要倒塌了。[leader_name]将需要[amount]份[item]来维修建筑。如果你现在就把东西送给他，你的同盟一定会为你的洞察力而惊讶不已。"
PHRASE_building_project_initial_announcement_S		"亲爱的[player_name]。我，[city_name]的执政官[leader_name]有一件事想请求你的帮助。我的一座圣所倒塌了，我需要[amount]份[item]来重建它。请在[time_allotted]个月里将[itemshort]送给我，来平息诸神的怒火。"
PHRASE_building_project_reminder_S 				"我的朋友[player_name]，我的城市[city_name]的一座曾经辉煌的圣所现在变成了一堆碎瓦。如果你不能将[amount]份[item]送来的话，它将继续触怒我的人民和诸神。请在六个月内将东西送来。"
PHRASE_building_project_overdue_S 					"我，[city_name]的执政官[leader_name]，感到很烦恼，[player_name]。圣所还是一片废墟，这完全是因为你没有将我需要的[amount]份[item]送来。如果你现在把东西送来，我们还可以继续建造，最终完成我们的项目。"
PHRASE_building_project_warning_S 					"我，[leader_name]，现在成了我自己城市[city_name]人民的笑料。这完全应该由你负责！你没有将我需要建造圣所的[amount]份[item]送来，害得我的建造毫无进展。现在建筑工人都打算回家了。如果你马上把[amount]份[item]送来，也许我还能说服他们留下，将工程完成。"
PHRASE_building_project_early_reason_S	  			"由于你提前将我需要的[amount]份[item]送了过来，"
PHRASE_building_project_comply_reason_S  			"由于你将我需要的[amount]份[item]送了过来，"
PHRASE_building_project_too_late_reason_S 	 		"由于你太晚才将我需要的[amount]份[item]送来，"
PHRASE_building_project_refuse_reason_S	 		"由于你无视我需要[amount]份[item]的请求，"
PHRASE_building_project_no_reason_S				""

PHRASE_building_project_title_D 					"[city_name]要求[itemshort]"
PHRASE_building_project_oracle_prediction_D		"[leader_name]，我是神谕所的先知，我预见到你的敌对城市[city_name]会发生的事。城市的执政官[leader_name]将建造一座雄伟的建筑，他会向你要[amount]份[item]来完成他的项目。在一年之内把东西送过去就能博得他的好感。"
PHRASE_building_project_initial_announcement_D		"真是有趣，[player_name]。虽然你只是一个微不足道的小子，但你还是有幸能够帮助我。我的城市[city_name]需要[amount]份[item]来完成一个建筑项目。在[time_allotted]个月内将货物送来，也许我会改变对你的看法，认为你还不是那么懦弱。"
PHRASE_building_project_reminder_D 				"你的脑袋里装的都是些什么，[player_name]？我的城市[city_name]需要的[amount]份[item]在哪儿？难道你搞忘了吗，笨蛋！六个月内把送过来，否则！"
PHRASE_building_project_overdue_D 					"你太让我吃惊了，[player_name]。你知道我是谁，嗯？[leader_name]，[city_name]的执政官！你怎么敢无视我的要求，到现在还不把[amount]份[item]送来！我的建筑项目到现在还没有完成，那都是你的错！马上把[item]送过来好让我完成项目，知道了吗，你这个蠢货！"
PHRASE_building_project_warning_D 					"好吧，这是最后一次！听着，[player_name]，我的城市[city_name]需要[amount]份[item]来完成建筑项目。现在就要，马上送来！听清楚了吗你？"
PHRASE_building_project_early_reason_D	  			"由于你读懂了我的心意，提前将我需要的[amount]份[item]送了过来，"
PHRASE_building_project_comply_reason_D  			"由于你乖乖地将我需要的[amount]份[item]送了过来，"
PHRASE_building_project_too_late_reason_D 	 		"由于你太晚才将我需要的[amount]份[item]送来，"
PHRASE_building_project_refuse_reason_D	 		"由于你拒绝了我的要求，没有将[amount]份[item]送来，"
PHRASE_building_project_no_reason_D				""

PHRASE_building_project_title_P 					"[city_name]需要[itemshort]"
PHRASE_building_project_oracle_prediction_P		"我是神谕所的先知，我看到了以后的事情：你的殖民地[city_name]的执政官[leader_name]将建造一幢雄伟的建筑。由于计划失误，[leader_name]还需要[amount]份[item]才能完成该项目。如果你能在一年之内将货物送去，你就等于帮了他一个大忙了。"
PHRASE_building_project_initial_announcement_P		"智慧而仁慈的[player_name]。我，[leader_name]，羞愧地来请求您的帮助。我在[city_name]开始了一项工程，但是我没有想到我会缺[amount]份[item]。现在我面临着无法完成项目的危险。如果您能在[time_allotted]个月内将[amount]份[item]送来，我将把这座建筑献给您！"
PHRASE_building_project_reminder_P 				"哦，伟大的[player_name]。我，[leader_name]，越来越觉得不安了。我们的[item]马上就要用完了，如果要完成项目就急需您将[amount]份[item]送给我们城市[city_name]。我真不知道如果我让这么一幢造了一半的建筑留在城里我的人民都会怎么说。请在六个月内将货物送来。"
